date,Qin,Qout
2019-10-12 15:40:00,2976.3214946581006,2307.7848107984737
2019-10-12 15:50:00,3034.1988163199567,2367.7950551229587
2019-10-12 16:00:00,3089.702599149738,2427.8052994474438
2019-10-12 16:10:00,3143.624022758136,2475.6215586373924
2019-10-12 16:20:00,3199.324123919485,2518.2118241982535
2019-10-12 16:30:00,3259.174472704387,2548.634267000006
2019-10-12 16:40:00,3319.024821489289,2560.804975663095
2019-10-12 16:50:00,3434.261920330605,2572.975684326184
2019-10-12 17:00:00,3519.9795187711265,2625.0752400515935
2019-10-12 17:10:00,3593.045902754165,2677.1747957770035
2019-10-12 17:20:00,3615.3512410744643,2710.3539865284483
2019-10-12 17:30:00,3637.656579394764,2730.9196006305842
2019-10-12 17:40:00,3676.1019499186477,2752.284988614469
2019-10-12 17:50:00,3725.307341911589,2776.849472125353
2019-10-12 18:00:00,3769.8866804735553,2801.4139556362366
2019-10-12 18:10:00,3807.52693888906,2822.208990589022
2019-10-12 18:20:00,3845.167197304565,2842.0616634022836
2019-10-12 18:30:00,3869.599146857902,2863.6020876128605
2019-10-12 18:40:00,3894.0310964112387,2889.0805984171725
2019-10-12 18:50:00,3928.065711371253,2914.5591092214845
2019-10-12 19:00:00,3968.502103269053,2931.0915778913677
2019-10-12 19:10:00,3964.191397483849,2946.630041879648
2019-10-12 19:20:00,3915.133594015641,2956.57008869568
2019-10-12 19:30:00,4068.9143634332345,2960.9117183394637
2019-10-12 19:40:00,4088.5111963860686,2963.9965604547842
2019-10-12 19:50:00,4108.108029338902,2955.7703148139303
2019-10-12 20:00:00,4218.940666439986,2947.5440691730764
2019-10-12 20:10:00,4327.0353442259175,2945.0761954808204
2019-10-12 20:20:00,4393.2910037760175,2945.0761954808204
2019-10-12 20:30:00,4507.903409477297,2945.0761954808204
2019-10-12 20:40:00,4648.283905034302,2945.0761954808204
2019-10-12 20:50:00,4733.393854209765,2945.0761954808204
2019-10-12 21:00:00,4745.302595180505,2954.216468415103
2019-10-12 21:10:00,4749.1549667525505,2965.641809582956
2019-10-12 21:20:00,4720.781860729825,2976.727654898964
2019-10-12 21:30:00,4813.852120270073,2987.3042564372045
2019-10-12 21:40:00,4847.538685048376,3619.432475039412
2019-10-12 21:50:00,4836.0184847454475,4263.3341687214515
2019-10-12 22:00:00,4791.634637670096,4385.492466348681
2019-10-12 22:10:00,4708.296886384611,4450.567474433083
2019-10-12 22:20:00,4566.933817457619,4473.904361534421
2019-10-12 22:30:00,4448.16869957652,4469.41583464705
2019-10-12 22:40:00,4319.553077184632,4379.367712315266
2019-10-12 22:50:00,4215.557717463047,4119.418462077421
2019-10-12 23:00:00,4090.6518443054633,3915.2125776949747
2019-10-12 23:10:00,3867.094234884862,3548.798253769352
2019-10-12 23:20:00,3780.202964272718,3277.2451392538105
2019-10-12 23:30:00,3789.4165574045105,3068.475973608922
2019-10-12 23:40:00,3798.6301505363035,3116.832369942197
2019-10-12 23:50:00,3790.0223177026983,3422.4909313842577
2019-10-13 00:00:00,3781.414484869093,3550.969872131722
2019-10-13 00:10:00,3595.878349658308,3629.465230338062
2019-10-13 00:20:00,3465.7485041310274,3583.0215449290595
2019-10-13 00:30:00,3383.7462553016344,3522.695743562796
2019-10-13 00:40:00,3321.6068111455106,3338.1131546680685
2019-10-13 00:50:00,3249.5290180568727,3257.2478542651957
2019-10-13 01:00:00,3173.1919325685853,3176.883672953037
2019-10-13 01:10:00,3060.34350930621,3096.644771413557
2019-10-13 01:20:00,2963.380342023926,2920.7394026974957
2019-10-13 01:30:00,2924.78105239674,2811.982396216501
2019-10-13 01:40:00,2875.0186787031394,2769.0916654723806
2019-10-13 01:50:00,2788.4014123924358,2738.208818944809
2019-10-13 02:00:00,2797.2034420526775,2719.3338566337866
2019-10-13 02:10:00,2596.372736210327,2577.0906352011975
2019-10-13 02:20:00,2479.071384283057,2453.305289893152
2019-10-13 02:30:00,2460.7004077387505,2399.86668418287
2019-10-13 02:40:00,2442.329431194444,2346.447531357811
2019-10-13 02:50:00,2314.452926604168,2293.203454499761
2019-10-13 03:00:00,2265.986612911061,2239.9593776417105
2019-10-13 03:10:00,2217.5202992179543,2205.678168972968
2019-10-13 03:20:00,2196.6002398038627,2176.1376773515517
2019-10-13 03:30:00,2134.2767766065967,2090.1642031699844
2019-10-13 03:40:00,1880.2316466260709,1921.619328006612
2019-10-13 03:50:00,1755.8036565270843,1779.9118382364659
2019-10-13 04:00:00,1663.8001607369176,1650.7874920047657
2019-10-13 04:10:00,1548.8034682080927,1547.3758539148716
2019-10-13 04:20:00,1556.3470737169853,1476.5738307934841
2019-10-13 04:30:00,1563.890679225878,1474.8502364687342
2019-10-13 04:40:00,1557.174537249095,1473.126642143984
2019-10-13 04:50:00,1546.893458400893,1479.2963263746246
2019-10-13 05:00:00,1516.1317239034347,1485.4660106052652
